ProductID,ProductName,ProductDescription,ProductPrice,Category,Supplier,InitialQuantity,CurrentQuantity,ReorderLevel,LastReplenishmentDate,NextReplenishmentDate
9001,Gentle Hydrating for Dry Hair,Shampoo with aloe vera for revitalizing dry hair,20,Hair Care,LushLock Labs,500,327,100,1/10/2023,8/10/2023
9002,Advanced Repair Moisturizer,"Our advanced moisturizer repairs and renews skin, keeping it smooth and hydrated all day",60,Skin Care,SkinLove Laboratories,500,292,100,1/10/2023,8/10/2023
9003,Ocean Oasis Perfume,"Smells like a cool sea breeze, this perfume is a gateway to serene oceanic escapades",70,Fragrance,Aroma Elixir,400,154,50,3/15/2023,9/15/2023
9004,Radiant Glow Liquid Foundation,"Provides full coverage while maintaining a natural glow, perfect for all-day wear",35,Makeup,CharmChic Creations,300,104,30,3/10/2023,9/10/2023
9005,Repair & Protect Hair Mask,This mask works overnight to repair damage and protect your hair from future harm,25,Hair Care,SilkenStrand Solutions,200,81,40,4/5/2023,10/5/2023
9006,Exfoliating Sea Salt Body Polish,"Our exfoliating body polish, with natural sea salt, buffs away dead skin cells for smoother skin",30,Beauty,Natural Allure,250,106,25,5/1/2023,11/1/2023
9007,Firming Collagen Body Lotion,Improve skin elasticity and firmness with our collagen-infused body lotion,45,Beauty,StarDust Beauty,300,140,50,2/12/2023,8/12/2023
9008,Antioxidant Berry Blast Serum,"Infused with a potent blend of antioxidants, this serum helps to protect your skin from environmental stressors",55,Skin Care,SkinLove Laboratories,450,225,100,4/15/2023,10/15/2023
9009,Rejuvenating Face Oil,"Packed with essential nutrients, this face oil leaves your skin feeling soft, supple, and rejuvenated",65,Skin Care,Eternal Youth Cosmetics,200,88,20,4/5/2023,10/5/2023
9010,Soothing Aloe Scalp Shampoo,"This gentle shampoo, enriched with aloe vera, soothes your scalp and keeps your hair healthy",20,Hair Care,Tress Treasure Treatments,350,203,50,2/20/2023,8/20/2023
9011,Curl Defining Shampoo,"Infused with hydrating ingredients, this shampoo enhances and defines your natural curls",20,Hair Care,CrownGlow Creations,350,210,50,2/20/2023,8/20/2023
9012,Airbrush Finish Setting Spray,"Set your makeup for long-lasting wear and enjoy a smooth, airbrushed finish",25,Makeup,CharmChic Creations,400,255,50,3/18/2023,9/18/2023
9013,Revitalizing Gel Cleanser,A lightweight gel cleanser that revitalizes your skin while removing impurities,25,Skin Care,VitaGlow Organic,250,130,30,5/1/2023,11/1/2023
9014,Rose Radiance Cologne,"A timeless aroma of fresh roses, a classic tribute to romance and charm",75,Fragrance,Essence Enchantment,200,60,40,4/20/2023,10/20/2023
9015,Gentle Exfoliating Face Scrub,"Gently buffs away dead skin cells, revealing a smoother, more radiant complexion",30,Skin Care,HydraHeal Holistics,300,175,50,2/28/2023,8/28/2023
9016,Invigorating Peppermint Foot Cream,"Our invigorating foot cream, with the cooling effect of peppermint, soothes and refreshes tired feet",15,Beauty,Radiant Charm,350,241,50,5/10/2023,11/10/2023
9017,Shimmer & Shine Eyeshadow Palette,A versatile palette featuring a mix of shimmering and matte eyeshadows,40,Makeup,Eternal Youth Cosmetics,400,289,80,3/10/2023,9/10/2023
9018,Stay-All-Day Liquid Eyeliner,"Our stay-all-day eyeliner offers precision and ease, for a smudge-proof, long-lasting look",15,Makeup,StarDust Beauty,250,120,30,5/15/2023,11/15/2023
9019,Soothing Chamomile Eye Cream,"This soothing eye cream, formulated with calming chamomile, helps to reduce puffiness and under-eye circles",50,Skin Care,HydraHeal Holistics,275,122,30,4/1/2023,10/1/2023
9020,Refreshing Cucumber Facial Mist,Hydrate and refresh your skin throughout the day with our cooling cucumber facial mist,15,Beauty,ColorPop Beauty,300,150,50,3/30/2023,9/30/2023
9021,Floral Fragrance Perfume,Women's perfume with a floral fragrance,70,Fragrance,Aroma Elixir,300,15,50,5/8/2023,8/10/2023
9022,Hydrating Conditioner for Color-Treated Hair,Specifically designed to protect color-treated hair,25,Hair Care,LushLock Labs,550,138,40,3/1/2023,8/27/2023
9023,Curl Enhancing Gel,"This gel enhances your natural curls, adding definition without any stiffness",20,Hair Care,Hair Harmony Holistics,600,72,80,1/1/2023,7/2/2023
9024,Gentle Rosehip Oil Cleanser,"Our gentle cleanser, formulated with rosehip oil, helps to remove dirt and makeup while hydrating your skin",35,Skin Care,Pure Touch Therapeutics,700,175,100,12/5/2022,8/3/2023
9025,Bold and Beautiful Eyeshadow Quad,"Four bold, complementary shades of eyeshadow for creating a variety of vibrant looks",40,Makeup,BellaCanvas Colors,600,396,80,1/25/2023,8/24/2023
9026,Vibrant Pink Lipstick,Stand out with a vibrant pink lips,15,Makeup,Eternal Youth Cosmetics,700,476,90,4/10/2023,9/4/2023
